,,,,,,,,,,,,,,,
,,,,연료별 차종별 용도별 등록현황,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
자동차관리 시스템,,,,,,,,,,,,,,,
PROG_ID     :,,STA029Q,,,,,,,,,Page No. :,,,1,
통계기준월  :,,202202,,,,,,,,,출력일자 :,,,2022-03-16 16:00:40,
시군구별,,,연료별,,,용도별,승    용,승    합,화    물,,,특    수,,,계
,,,휘발유,,,사업용,860,0,0,,,0,,,860
,,,휘발유(무연),,,비사업용,13215,133,29,,,0,,,13377
,,,휘발유(무연),,,사업용,277,0,0,,,0,,,277
,,,휘발유(유연),,,비사업용,10,0,0,,,0,,,10
용산구,,,CNG,,,비사업용,1,0,25,,,0,,,26
,,,CNG,,,사업용,0,2,0,,,0,,,2
,,,경유,,,비사업용,17121,1717,4716,,,84,,,23638
,,,경유,,,사업용,158,52,955,,,38,,,1203
용산구,,,기타연료,,,비사업용,89,37,117,,,15,,,258
,,,기타연료,,,사업용,0,0,8,,,0,,,8
,,,수소,,,비사업용,63,0,0,,,0,,,63
,,,엘피지,,,비사업용,2205,309,383,,,1,,,2898
,,,엘피지,,,사업용,425,6,66,,,0,,,497
,,,전기,,,비사업용,879,1,50,,,0,,,930
,,,전기,,,사업용,6,0,39,,,0,,,45
,,,하이브리드(LPG+전기),,,비사업용,31,0,0,,,0,,,31
,,,하이브리드(경유+전기),,,비사업용,80,0,0,,,0,,,80
,,,하이브리드(경유+전기),,,사업용,4,0,0,,,0,,,4
,,,하이브리드(휘발유+전기),,,비사업용,3962,0,0,,,0,,,3962
,,,하이브리드(휘발유+전기),,,사업용,129,0,0,,,0,,,129
,,,휘발유,,,비사업용,22859,23,79,,,0,,,22961
,,,휘발유,,,사업용,177,0,0,,,0,,,177
,,,휘발유(무연),,,비사업용,22500,24,16,,,0,,,22540
,,,휘발유(무연),,,사업용,89,0,0,,,0,,,89
,,,휘발유(유연),,,비사업용,18,0,0,,,0,,,18
성동구,,,CNG,,,비사업용,8,5,19,,,0,,,32
,,,CNG,,,사업용,0,406,0,,,0,,,406
,,,경유,,,비사업용,23787,1804,7830,,,121,,,33542
,,,경유,,,사업용,650,351,1697,,,109,,,2807
,,,기타연료,,,비사업용,3,53,121,,,45,,,222
,,,기타연료,,,사업용,1,0,102,,,0,,,103
성동구,,,수소,,,비사업용,47,0,0,,,0,,,47
,,,수소,,,사업용,0,4,0,,,0,,,4
,,,엘피지,,,비사업용,3653,349,667,,,1,,,4670
,,,엘피지,,,사업용,2584,8,211,,,0,,,2803
,,,전기,,,비사업용,747,1,93,,,1,,,842
,,,전기,,,사업용,525,45,49,,,0,,,619
,,,하이브리드(LPG+전기),,,비사업용,50,0,0,,,0,,,50
,,,하이브리드(LPG+전기),,,사업용,28,0,0,,,0,,,28
,,,하이브리드(경유+전기),,,비사업용,121,0,0,,,0,,,121
